index,manga_title
0,Berserk
1,JoJo no Kimyou na Bouken Part 7: Steel Ball Run
2,One Piece
3,Vagabond
4,Monster
5,Fullmetal Alchemist
6,Slam Dunk
7,Oyasumi Punpun
8,Grand Blue
9,Vinland Saga
10,Kingdom
11,20th Century Boys
12,Ashita no Joe
13,Houseki no Kuni
14,3-gatsu no Lion
15,Kaguya-sama wa Kokurasetai: Tensai-tachi no Renai Zunousen
16,GTO
17,Real
18,Yotsuba to!
19,Koe no Katachi
20,Haikyuu!!
21,Akatsuki no Yona
22,Kaze no Tani no Nausicaä
23,"Jumyou wo Kaitotte Moratta. Ichinen ni Tsuki, Ichimanen de."
24,Made in Abyss
25,Umineko no Naku Koro ni Chiru - Episode 8: Twilight of the Golden Witch
26,Uchuu Kyoudai
27,Nana
28,Mushishi
29,One Punch-Man
30,Chainsaw Man
31,Blue Period
32,Yokohama Kaidashi Kikou
33,Death Note
34,Natsume Yuujinchou
35,Kono Oto Tomare!
36,Hunter x Hunter
37,Akira
38,Shoujo Shuumatsu Ryokou
39,Yagate Kimi ni Naru
40,Hajime no Ippo
41,Beck
42,Dorohedoro
43,Kozure Ookami
44,ReLIFE
45,Spy x Family
46,Banana Fish
47,"Umarekawattemo Mata, Watashi to Kekkon shitekuremasu ka"
48,Aria
49,Kokou no Hito
50,Gintama
51,Pluto
52,Mob Psycho 100
53,Jibaku Shounen Hanako-kun
54,Shigatsu wa Kimi no Uso
55,Pandora Hearts
56,Given
57,Skip Beat!
58,JoJo no Kimyou na Bouken Part 4: Diamond wa Kudakenai
59,Shingeki no Kyojin
60,Rurouni Kenshin: Meiji Kenkaku Romantan
61,One Outs
62,Watashitachi no Shiawase na Jikan
63,Sousou no Frieren
64,Jujutsu Kaisen
65,Neon Genesis Evangelion
66,Otoyomegatari
67,Golden Kamuy
68,Diamond no Ace Act II
69,Kakukaku Shikajika
70,Hi no Tori (1967)
71,Sakamichi no Apollon
72,Chikan Otoko
73,Shimanami Tasogare
74,Sasaki to Miyano
75,"Ohayou, Ibarahime"
76,Kidou Senshi Gundam: The Origin
77,Kamisama Hajimemashita
78,Chihayafuru
79,Fruits Basket
80,Tongari Boushi no Atelier
81,Umineko no Naku Koro ni Chiru - Episode 7: Requiem of the Golden Witch
82,Tokyo Ghoul
83,Bakemonogatari
84,Spirit Circle
